region,ds,y,calendar_ds
basilicata,2014-05-11,1.33,2016-11-27
basilicata,2014-05-18,0.85,2016-12-04
basilicata,2014-05-25,2.5,2016-12-11
basilicata,2014-06-01,1.99,2016-12-18
basilicata,2014-06-08,2.41,2016-12-25
basilicata,2014-06-15,10.43,2017-01-01
basilicata,2014-06-22,14.73,2017-01-08
basilicata,2014-06-29,15.96,2017-01-15
basilicata,2014-07-06,11.72,2017-01-22
basilicata,2014-07-13,5.08,2017-01-29
basilicata,2014-07-20,10.16,2017-02-05
basilicata,2014-07-27,17.09,2017-02-12
basilicata,2014-08-03,4.08,2017-02-19
basilicata,2014-08-10,3.26,2017-02-26
basilicata,2014-08-17,2.58,2017-03-05
basilicata,2014-08-24,4.86,2017-03-12
basilicata,2014-08-31,4.74,2017-03-19
basilicata,2014-09-07,3.81,2017-03-26
basilicata,2014-09-14,2.65,2017-04-02
basilicata,2014-09-21,3.31,2017-04-09
basilicata,2014-09-28,0.0,2017-04-16
basilicata,2014-10-05,1.32,2017-04-23
basilicata,2014-10-12,0.0,2017-04-30
basilicata,2014-10-19,0.0,2017-11-05
basilicata,2014-10-26,0.45,2017-11-12
basilicata,2014-11-02,1.17,2017-11-19
basilicata,2014-11-09,2.92,2017-11-26
basilicata,2014-11-16,0.8,2017-12-03
basilicata,2014-11-23,1.94,2017-12-10
basilicata,2014-11-30,5.47,2017-12-17
basilicata,2014-12-07,0.72,2017-12-24
basilicata,2014-12-14,34.89,2017-12-31
basilicata,2014-12-21,12.63,2018-01-07
basilicata,2014-12-28,31.49,2018-01-14
basilicata,2015-01-04,40.74,2018-01-21
basilicata,2015-01-11,12.89,2018-01-28
basilicata,2015-01-18,8.24,2018-02-04
basilicata,2015-01-25,17.38,2018-02-11
basilicata,2015-02-01,10.55,2018-02-18
basilicata,2015-02-08,19.57,2018-02-25
basilicata,2015-02-15,5.0,2018-03-04
basilicata,2015-02-22,10.4,2018-03-11
basilicata,2015-03-01,0.85,2018-03-18
basilicata,2015-03-08,4.99,2018-03-25
basilicata,2015-03-15,0.0,2018-04-01
basilicata,2015-03-22,0.0,2018-04-08
basilicata,2015-03-29,0.0,2018-04-15
basilicata,2015-04-05,0.0,2018-04-22
basilicata,2015-04-12,0.0,2018-04-29
basilicata,2015-04-19,0.0,2018-10-28
basilicata,2015-04-26,0.0,2018-11-04
basilicata,2015-05-03,0.0,2018-11-11
basilicata,2015-05-10,0.09,2018-11-18
basilicata,2015-05-17,0.0,2018-11-25
basilicata,2015-05-24,0.0,2018-12-02
basilicata,2015-05-31,0.16,2018-12-09
basilicata,2015-06-07,3.32,2018-12-16
basilicata,2015-06-14,2.76,2018-12-23
basilicata,2015-06-21,4.98,2018-12-30
basilicata,2015-06-28,3.27,2019-01-06
basilicata,2015-07-05,4.93,2019-01-13
basilicata,2015-07-12,6.69,2019-01-20
basilicata,2015-07-19,9.5,2019-01-27
basilicata,2015-07-26,11.56,2019-02-03
basilicata,2015-08-02,10.87,2019-02-10
basilicata,2015-08-09,11.58,2019-02-17
basilicata,2015-08-16,12.81,2019-02-24
basilicata,2015-08-23,6.1,2019-03-03
basilicata,2015-08-30,5.44,2019-03-10
basilicata,2015-09-06,3.57,2019-03-17
basilicata,2015-09-13,0.75,2019-03-24
basilicata,2015-09-20,0.0,2019-03-31
basilicata,2015-09-27,0.0,2019-04-07
basilicata,2015-10-04,0.0,2019-04-14
basilicata,2015-10-11,0.0,2019-04-21
basilicata,2015-10-18,0.0,2019-04-28
basilicata,2015-10-25,0.0,2019-11-03
basilicata,2015-11-01,0.0,2019-11-10
basilicata,2015-11-08,0.3,2019-11-17
basilicata,2015-11-15,1.22,2019-11-24
basilicata,2015-11-22,1.08,2019-12-01
basilicata,2015-11-29,1.33,2019-12-08
basilicata,2015-12-06,2.16,2019-12-15
basilicata,2015-12-13,2.93,2019-12-22
basilicata,2015-12-20,4.53,2019-12-29
basilicata,2015-12-27,4.68,2020-01-05
